,team,rival,win,tie,loss,difference,total,metric
47,United Kingdom,Albania,2,0,2,0,4,0.0
48,Estonia,Albania,1,2,0,1,3,0.3333333333333330
49,Albania,Finland,5,1,1,4,7,0.5714285714285710
50,France,Albania,5,1,2,3,8,0.375
51,Georgia,Albania,8,3,3,5,14,0.35714285714285700
52,German DR,Albania,1,1,1,0,3,0.0
53,Germany,Albania,7,1,6,1,14,0.07142857142857140
54,Greece,Albania,9,3,1,8,13,0.6153846153846150
55,Hungary,Albania,4,1,1,3,6,0.5
56,Iceland,Albania,6,0,1,5,7,0.7142857142857140
57,Iran,Albania,1,0,0,1,1,1.0
58,Israel,Albania,2,0,2,0,4,0.0
59,Italy,Albania,2,0,1,1,3,0.3333333333333330
60,Jordan,Albania,0,1,0,0,1,0.0
61,Kazakhstan,Albania,1,0,1,0,2,0.0
62,Albania,Kosovo,0,1,1,-1,2,-0.5
63,Latvia,Albania,0,5,0,0,5,0.0
64,Liechtenstein,Albania,2,0,1,1,3,0.3333333333333330
65,Lithuania,Albania,3,0,1,2,4,0.5
66,Luxembourg,Albania,4,1,2,2,7,0.2857142857142860
67,Malta,Albania,5,2,1,4,8,0.5
68,Albania,Moldova,2,1,2,0,5,0.0
69,Montenegro,Albania,2,0,1,1,3,0.3333333333333330
70,Morocco,Albania,0,1,0,0,1,0.0
71,Netherlands,Albania,2,0,2,0,4,0.0
72,North Macedonia,Albania,5,4,1,4,10,0.4
73,Northern Ireland,Albania,6,2,1,5,9,0.5555555555555560
74,Norway,Albania,0,2,3,-3,5,-0.6
75,Poland,Albania,5,3,3,2,11,0.18181818181818200
76,Portugal,Albania,2,1,4,-2,7,-0.2857142857142860
77,Qatar,Albania,2,0,0,2,2,1.0
78,Republic of Ireland,Albania,2,1,1,1,4,0.25
79,Romania,Albania,6,3,8,-2,17,-0.11764705882352900
80,Russia,Albania,2,0,0,2,2,1.0
81,Scotland,Albania,1,0,1,0,2,0.0
82,Albania,Serbia,0,0,2,-2,2,-1.0
83,Albania,Slovenia,3,2,2,1,7,0.14285714285714300
84,Spain,Albania,4,0,3,1,7,0.14285714285714300
85,Albania,Sweden,3,1,1,2,5,0.4
86,Switzerland,Albania,3,1,3,0,7,0.0
87,Turkey,Albania,5,2,5,0,12,0.0
88,Ukraine,Albania,1,1,4,-3,6,-0.5
89,Uzbekistan,Albania,1,0,0,1,1,1.0
90,Vietnam,Albania,1,0,0,1,1,1.0
91,Albania,Wales,2,1,0,2,3,0.6666666666666670
92,Albania,Yugoslavia,1,1,3,-2,5,-0.4
93,Alderney,Falkland Islands,0,0,2,-2,2,-1.0
94,Alderney,Gibraltar,0,0,1,-1,1,-1.0
95,Alderney,Greenland,0,0,1,-1,1,-1.0
96,Alderney,Hitra,1,0,1,0,2,0.0
97,Alderney,Jersey,1,0,1,0,2,0.0
98,Alderney,Western Isles,0,0,1,-1,1,-1.0
99,Alderney,Ynys Môn,0,0,1,-1,1,-1.0
100,Algeria,Angola,3,6,0,3,9,0.3333333333333330
101,Algeria,Argentina,0,0,1,-1,1,-1.0
102,Algeria,Austria,0,0,1,-1,1,-1.0
103,Bahrain,Algeria,0,2,0,0,2,0.0
104,Algeria,Bangladesh,1,0,0,1,1,1.0
105,Algeria,Belgium,1,1,1,0,3,0.0
106,Algeria,Benin,7,1,1,6,9,0.6666666666666670
107,Algeria,Bosnia and Herzegovina,0,0,1,-1,1,-1.0
108,Algeria,Brazil,1,0,3,-2,4,-0.5
109,Algeria,Bulgaria,2,2,2,0,6,0.0
110,Algeria,Burkina Faso,11,5,4,7,20,0.35
111,Burundi,Algeria,2,2,1,1,5,0.2
112,Algeria,Cameroon,5,4,1,4,10,0.4
113,Algeria,Canada,1,0,0,1,1,1.0
114,Algeria,Cape Verde,2,2,1,1,5,0.2
115,Central African Republic,Algeria,3,0,0,3,3,1.0
116,Chad,Algeria,1,1,0,1,2,0.5
117,Algeria,Chile,1,0,0,1,1,1.0
118,Algeria,China PR,0,0,1,-1,1,-1.0
119,Algeria,Colombia,1,0,0,1,1,1.0
120,Algeria,Congo,2,1,0,2,3,0.6666666666666670
121,Algeria,DR Congo,1,4,0,1,5,0.2
122,Denmark,Algeria,0,1,0,0,1,0.0
123,Egypt,Algeria,9,6,3,6,18,0.3333333333333330
124,Algeria,Ethiopia,3,3,1,2,7,0.2857142857142860
125,Algeria,Finland,1,0,0,1,1,1.0
126,Algeria,Gabon,2,2,3,-1,7,-0.14285714285714300
127,Algeria,Gambia,5,1,1,4,7,0.5714285714285710
128,German DR,Algeria,2,1,1,1,4,0.25
129,Germany,Algeria,2,0,1,1,3,0.3333333333333330
130,Algeria,Ghana,4,2,2,2,8,0.25
131,Algeria,Guinea,6,2,4,2,12,0.16666666666666700
132,Guinea-Bissau,Algeria,1,0,1,0,2,0.0
133,Hungary,Algeria,0,0,2,-2,2,-1.0
134,Iran,Algeria,1,0,1,0,2,0.0
135,Algeria,Iraq,3,4,0,3,7,0.42857142857142900
136,Algeria,Ivory Coast,9,8,3,6,20,0.3
137,Algeria,Jordan,2,1,0,2,3,0.6666666666666670
138,Algeria,Kenya,3,1,1,2,5,0.4
139,Algeria,Kuwait,2,0,0,2,2,1.0
140,Algeria,Lebanon,1,1,0,1,2,0.5
141,Algeria,Lesotho,1,0,1,0,2,0.0
142,Algeria,Liberia,2,3,0,2,5,0.4
143,Algeria,Libya,6,3,5,1,14,0.07142857142857140
144,Algeria,Madagascar,1,0,0,1,1,1.0
145,Algeria,Malawi,4,1,1,3,6,0.5
146,Algeria,Mali,12,1,4,8,17,0.47058823529411800
147,Algeria,Malta,1,1,1,0,3,0.0
148,Algeria,Mauritania,6,1,0,6,7,0.8571428571428570
149,Morocco,Algeria,15,10,1,14,26,0.5384615384615380
150,Mozambique,Algeria,1,0,0,1,1,1.0
151,Algeria,Namibia,2,0,2,0,4,0.0
152,Nepal,Algeria,1,0,0,1,1,1.0
153,Algeria,Niger,4,0,1,3,5,0.6
154,Algeria,Nigeria,11,3,3,8,17,0.47058823529411800
155,Algeria,North Korea,0,0,1,-1,1,-1.0
156,Algeria,Northern Ireland,0,1,0,0,1,0.0
157,Algeria,Palestine,2,0,0,2,2,1.0
158,Algeria,Peru,0,1,0,0,1,0.0
159,Algeria,Qatar,3,1,1,2,5,0.4
160,Republic of Ireland,Algeria,2,0,0,2,2,1.0
161,Algeria,Romania,1,2,2,-1,5,-0.2
162,Algeria,Russia,0,2,0,0,2,0.0
163,Algeria,Rwanda,3,2,1,2,6,0.3333333333333330
164,Saudi Arabia,Algeria,1,2,2,-1,5,-0.2
165,Algeria,Senegal,12,4,6,6,22,0.2727272727272730
166,Algeria,Serbia,0,0,1,-1,1,-1.0
167,Seychelles,Algeria,1,0,1,0,2,0.0
168,Algeria,Sierra Leone,3,2,0,3,5,0.6
169,Algeria,Slovakia,0,1,0,0,1,0.0
170,Algeria,Slovenia,1,0,1,0,2,0.0
171,Algeria,South Africa,2,2,0,2,4,0.5
172,South Korea,Algeria,2,0,2,0,4,0.0
173,Algeria,Spain,0,0,1,-1,1,-1.0
174,Sudan,Algeria,3,2,0,3,5,0.6
175,Algeria,Sweden,2,1,1,1,4,0.25
176,Algeria,Switzerland,1,0,1,0,2,0.0
177,Algeria,Syria,1,2,2,-1,5,-0.2
178,Algeria,Tanzania,4,3,2,2,9,0.2222222222222220
179,Algeria,Togo,1,1,2,-1,4,-0.25
180,Tunisia,Algeria,15,9,9,6,33,0.18181818181818200
181,Algeria,Turkey,2,0,1,1,3,0.3333333333333330
182,Algeria,Uganda,2,3,1,1,6,0.16666666666666700
183,Algeria,United Arab Emirates,3,2,0,3,5,0.6
184,Uruguay,Algeria,1,0,0,1,1,1.0
185,Yemen,Algeria,1,0,0,1,1,1.0
186,Algeria,Yemen DPR,1,0,0,1,1,1.0
187,Algeria,Yugoslavia,0,0,1,-1,1,-1.0
188,Algeria,Zambia,4,2,6,-2,12,-0.16666666666666700
189,Algeria,Zimbabwe,1,3,2,-1,6,-0.16666666666666700
190,Cook Islands,American Samoa,2,1,0,2,3,0.6666666666666670
191,Fiji,American Samoa,3,0,1,2,4,0.5
192,Guam,American Samoa,0,0,1,-1,1,-1.0
193,New Caledonia,American Samoa,2,0,2,0,4,0.0
194,Papua New Guinea,American Samoa,0,0,3,-3,3,-1.0
195,Samoa,American Samoa,8,0,1,7,9,0.7777777777777780
196,Solomon Islands,American Samoa,2,0,1,1,3,0.3333333333333330
197,Tahiti,American Samoa,3,0,0,3,3,1.0
198,Tonga,American Samoa,4,0,5,-1,9,-0.1111111111111110
199,American Samoa,Tuvalu,1,1,0,1,2,0.5
200,Vanuatu,American Samoa,0,0,4,-4,4,-1.0
201,Wallis Islands and Futuna,American Samoa,1,0,1,0,2,0.0
202,Chile,Andalusia,1,0,0,1,1,1.0
203,China PR,Andalusia,1,0,0,1,1,1.0
204,Estonia,Andalusia,1,0,0,1,1,1.0
205,Galicia,Andalusia,0,0,1,-1,1,-1.0
206,Iraq,Andalusia,1,0,0,1,1,1.0
207,Latvia,Andalusia,1,0,0,1,1,1.0
208,Malta,Andalusia,0,1,0,0,1,0.0
209,Morocco,Andalusia,1,0,0,1,1,1.0
210,Tunisia,Andalusia,0,1,0,0,1,0.0
211,Uruguay,Andalusia,0,1,0,0,1,0.0
212,Yugoslavia,Andalusia,0,1,0,0,1,0.0
213,Zambia,Andalusia,1,0,0,1,1,1.0
214,Armenia,Andorra,3,1,4,-1,8,-0.125
215,Azerbaijan,Andorra,0,4,1,-1,5,-0.2
216,Belarus,Andorra,3,0,1,2,4,0.5
217,Belgium,Andorra,2,0,2,0,4,0.0
218,Bosnia and Herzegovina,Andorra,1,0,1,0,2,0.0
219,Brazil,Andorra,0,0,1,-1,1,-1.0
220,Bulgaria,Andorra,1,0,1,0,2,0.0
221,Cape Verde,Andorra,0,1,0,0,1,0.0
222,China PR,Andorra,0,1,0,0,1,0.0
223,Croatia,Andorra,3,0,3,0,6,0.0
224,Cyprus,Andorra,3,0,2,1,5,0.2
225,Czech Republic,Andorra,1,0,1,0,2,0.0
226,United Kingdom,Andorra,2,0,2,0,4,0.0
227,Equatorial Guinea,Andorra,0,0,1,-1,1,-1.0
228,Estonia,Andorra,7,0,5,2,12,0.16666666666666700
229,Faroe Islands,Andorra,1,1,0,1,2,0.5
230,Finland,Andorra,1,1,0,1,2,0.5
231,France,Andorra,3,0,2,1,5,0.2
232,Gabon,Andorra,0,0,1,-1,1,-1.0
233,Georgia,Andorra,1,1,0,1,2,0.5
234,Hungary,Andorra,3,0,1,2,4,0.5
235,Iceland,Andorra,4,0,3,1,7,0.14285714285714300
236,Indonesia,Andorra,0,0,1,-1,1,-1.0
237,Israel,Andorra,2,0,2,0,4,0.0
238,Kazakhstan,Andorra,2,1,1,1,4,0.25
239,Latvia,Andorra,3,2,2,1,7,0.14285714285714300
240,Liechtenstein,Andorra,2,0,0,2,2,1.0
241,Lithuania,Andorra,1,0,1,0,2,0.0
242,Moldova,Andorra,2,1,3,-1,6,-0.16666666666666700
243,Netherlands,Andorra,3,0,3,0,6,0.0
244,North Macedonia,Andorra,3,1,2,1,6,0.16666666666666700
245,Portugal,Andorra,3,0,2,1,5,0.2
246,Qatar,Andorra,0,0,1,-1,1,-1.0
247,Republic of Ireland,Andorra,2,0,2,0,4,0.0
248,Romania,Andorra,2,0,2,0,4,0.0
249,Russia,Andorra,3,0,3,0,6,0.0
250,Saint Kitts and Nevis,Andorra,0,0,1,-1,1,-1.0
251,Slovakia,Andorra,1,0,1,0,2,0.0
252,Switzerland,Andorra,1,0,1,0,2,0.0
253,Turkey,Andorra,2,0,1,1,3,0.3333333333333330
254,Ukraine,Andorra,2,0,2,0,4,0.0
255,United Arab Emirates,Andorra,0,1,0,0,1,0.0
256,Wales,Andorra,1,0,1,0,2,0.0
257,Angola,Benin,3,1,0,3,4,0.75
258,Botswana,Angola,2,6,4,-2,12,-0.16666666666666700
259,Angola,Burkina Faso,4,2,2,2,8,0.25
260,Burundi,Angola,1,1,0,1,2,0.5
261,Angola,Cameroon,5,6,3,2,14,0.14285714285714300
262,Angola,Cape Verde,2,3,2,0,7,0.0
263,Central African Republic,Angola,2,0,0,2,2,1.0
264,Chad,Angola,2,0,0,2,2,1.0
265,Angola,Congo,4,6,2,2,12,0.16666666666666700
266,Angola,Cuba,1,0,0,1,1,1.0
267,DR Congo,Angola,6,2,4,2,12,0.16666666666666700
268,Egypt,Angola,3,2,0,3,5,0.6
269,Angola,Equatorial Guinea,1,1,1,0,3,0.0
270,Eritrea,Angola,1,1,0,1,2,0.5
271,Estonia,Angola,0,0,1,-1,1,-1.0
272,Eswatini,Angola,5,4,4,1,13,0.07692307692307690
273,Angola,Gabon,12,4,0,12,16,0.75
274,Angola,Gambia,0,2,0,0,2,0.0
275,Ghana,Angola,2,2,2,0,6,0.0
276,Angola,Guinea,2,0,1,1,3,0.3333333333333330
277,Guinea-Bissau,Angola,3,1,1,2,5,0.4
278,Iran,Angola,1,2,0,1,3,0.3333333333333330
279,Angola,Ivory Coast,5,0,1,4,6,0.6666666666666670
280,Kenya,Angola,4,0,0,4,4,1.0
281,Angola,Latvia,0,1,0,0,1,0.0
282,Angola,Lesotho,5,1,3,2,9,0.2222222222222220
283,Liberia,Angola,1,2,0,1,3,0.3333333333333330
284,Angola,Libya,1,1,0,1,2,0.5
285,Madagascar,Angola,0,2,0,0,2,0.0
286,Angola,Malawi,5,3,1,4,9,0.4444444444444440
287,Angola,Mali,1,2,2,-1,5,-0.2
288,Angola,Mauritania,2,1,0,2,3,0.6666666666666670
289,Mauritius,Angola,4,1,4,0,9,0.0
290,Morocco,Angola,4,2,1,3,7,0.42857142857142900
291,Mozambique,Angola,6,6,3,3,15,0.2
292,Angola,Namibia,4,5,2,2,11,0.18181818181818200
293,Angola,Niger,1,0,1,0,2,0.0
294,Nigeria,Angola,4,6,0,4,10,0.4
295,Angola,North Macedonia,0,1,0,0,1,0.0
296,Portugal,Angola,2,0,1,1,3,0.3333333333333330
297,Angola,Rwanda,2,0,1,1,3,0.3333333333333330
298,Senegal,Angola,2,3,2,0,7,0.0
299,Angola,Sierra Leone,1,0,0,1,1,1.0
300,Angola,South Africa,6,5,3,3,14,0.21428571428571400
301,Sudan,Angola,0,2,1,-1,3,-0.3333333333333330
302,São Tomé and Príncipe,Angola,1,2,1,0,4,0.0
303,Angola,Tanzania,1,2,0,1,3,0.3333333333333330
304,Togo,Angola,2,3,2,0,7,0.0
305,Angola,Turkey,0,0,1,-1,1,-1.0
306,Uganda,Angola,5,2,1,4,8,0.5
307,Uruguay,Angola,0,0,1,-1,1,-1.0
308,Angola,Zambia,4,7,4,0,15,0.0
309,Zimbabwe,Angola,9,5,4,5,18,0.2777777777777780
310,Antigua and Barbuda,Anguilla,1,0,1,0,2,0.0
311,Bahamas,Anguilla,1,1,1,0,3,0.0
312,British Virgin Islands,Anguilla,4,0,3,1,7,0.14285714285714300
313,Anguilla,Cuba,1,0,1,0,2,0.0
314,El Salvador,Anguilla,1,0,1,0,2,0.0
315,Anguilla,French Guiana,1,0,1,0,2,0.0
316,Anguilla,Guatemala,1,0,1,0,2,0.0
317,Montserrat,Anguilla,2,1,1,1,4,0.25
318,Anguilla,Nicaragua,1,0,1,0,2,0.0
319,Anguilla,Puerto Rico,1,0,2,-1,3,-0.3333333333333330
320,Anguilla,Saint Kitts and Nevis,1,0,1,0,2,0.0
321,Anguilla,Saint Martin,4,0,2,2,6,0.3333333333333330
322,Sint Maarten,Anguilla,3,1,1,2,5,0.4
323,Anguilla,United States Virgin Islands,0,1,1,-1,2,-0.5
324,Antigua and Barbuda,Aruba,3,0,1,2,4,0.5
325,Antigua and Barbuda,Barbados,5,1,1,4,7,0.5714285714285710
326,Antigua and Barbuda,Bermuda,4,3,3,1,10,0.1
327,Antigua and Barbuda,British Virgin Islands,2,2,1,1,5,0.2
328,Antigua and Barbuda,Cuba,3,1,1,2,5,0.4
329,Antigua and Barbuda,Curacao,1,0,0,1,1,1.0
330,Antigua and Barbuda,Curaçao,6,2,2,4,10,0.4
331,Antigua and Barbuda,Dominica,9,5,2,7,16,0.4375
332,Antigua and Barbuda,Dominican Republic,1,0,2,-1,3,-0.3333333333333330
333,Antigua and Barbuda,Estonia,0,0,1,-1,1,-1.0
334,Antigua and Barbuda,French Guiana,2,0,1,1,3,0.3333333333333330
335,Antigua and Barbuda,Grenada,1,3,1,0,5,0.0
336,Antigua and Barbuda,Guadeloupe,3,4,3,0,10,0.0
337,Antigua and Barbuda,Guatemala,2,0,2,0,4,0.0
338,Antigua and Barbuda,Guyana,10,1,0,10,11,0.9090909090909090
339,Antigua and Barbuda,Haiti,5,2,5,0,12,0.0
340,Antigua and Barbuda,Hungary,0,0,1,-1,1,-1.0
341,Antigua and Barbuda,Jamaica,5,2,4,1,11,0.09090909090909090
342,Antigua and Barbuda,Martinique,4,1,5,-1,10,-0.1
343,Antigua and Barbuda,Montserrat,2,0,1,1,3,0.3333333333333330
344,Antigua and Barbuda,Saint Kitts and Nevis,11,4,2,9,17,0.5294117647058820
345,Antigua and Barbuda,Saint Lucia,5,3,4,1,12,0.08333333333333330
346,Antigua and Barbuda,Saint Martin,1,0,0,1,1,1.0
347,Antigua and Barbuda,Saint Vincent and the Grenadines,1,1,0,1,2,0.5
348,Antigua and Barbuda,Sint Maarten,0,0,1,-1,1,-1.0
349,Antigua and Barbuda,Suriname,1,1,3,-2,5,-0.4
350,Antigua and Barbuda,Trinidad and Tobago,8,1,4,4,13,0.3076923076923080
351,Antigua and Barbuda,United States,1,0,1,0,2,0.0
352,Antigua and Barbuda,United States Virgin Islands,2,0,1,1,3,0.3333333333333330
353,Ellan Vannin,Arameans Suryoye,0,0,1,-1,1,-1.0
354,Occitania,Arameans Suryoye,0,1,0,0,1,0.0
355,Arameans Suryoye,Provence,1,0,0,1,1,1.0
356,Albania,Argentina,1,0,0,1,1,1.0
357,Angola,Argentina,1,0,0,1,1,1.0
358,Australia,Argentina,4,1,2,2,7,0.2857142857142860
359,Belgium,Argentina,2,0,2,0,4,0.0
360,Bolivia,Argentina,25,5,5,20,35,0.5714285714285710
361,Bosnia and Herzegovina,Argentina,3,0,0,3,3,1.0
362,Brazil,Argentina,55,24,25,30,104,0.28846153846153800
363,Bulgaria,Argentina,8,0,1,7,9,0.7777777777777780
364,Cameroon,Argentina,0,1,1,-1,2,-0.5
365,Canada,Argentina,1,0,0,1,1,1.0
366,Chile,Argentina,48,24,16,32,88,0.36363636363636400
367,China PR,Argentina,0,0,1,-1,1,-1.0
368,Colombia,Argentina,18,9,10,8,37,0.21621621621621600
369,Costa Rica,Argentina,3,2,1,2,6,0.3333333333333330
370,Croatia,Argentina,2,1,2,0,5,0.0
371,Czechoslovakia,Argentina,2,3,1,1,6,0.16666666666666700
372,Denmark,Argentina,1,1,0,1,2,0.5
373,Ecuador,Argentina,18,10,6,12,34,0.35294117647058800
374,El Salvador,Argentina,1,0,0,1,1,1.0
375,United Kingdom,Argentina,7,6,2,5,15,0.3333333333333330
376,France,Argentina,5,3,4,1,12,0.08333333333333330
377,German DR,Argentina,1,1,0,1,2,0.5
378,Germany,Argentina,8,6,9,-1,23,-0.043478260869565200
379,Ghana,Argentina,1,0,0,1,1,1.0
380,Greece,Argentina,1,0,1,0,2,0.0
381,Guatemala,Argentina,1,0,1,0,2,0.0
382,Haiti,Argentina,3,0,0,3,3,1.0
383,Hungary,Argentina,5,1,1,4,7,0.5714285714285710
384,Iceland,Argentina,0,1,0,0,1,0.0
385,Iran,Argentina,1,1,0,1,2,0.5
386,Iraq,Argentina,1,0,0,1,1,1.0
387,Italy,Argentina,5,5,5,0,15,0.0
388,Ivory Coast,Argentina,2,0,0,2,2,1.0
389,Jamaica,Argentina,3,0,0,3,3,1.0
390,Japan,Argentina,2,0,4,-2,6,-0.3333333333333330
391,Lithuania,Argentina,0,1,0,0,1,0.0
392,Mexico,Argentina,13,12,6,7,31,0.22580645161290300
393,Morocco,Argentina,1,0,2,-1,3,-0.3333333333333330
394,Netherlands,Argentina,5,4,0,5,9,0.5555555555555560
395,Nicaragua,Argentina,1,0,0,1,1,1.0
396,Nigeria,Argentina,5,1,3,2,9,0.2222222222222220
397,Northern Ireland,Argentina,1,0,0,1,1,1.0
398,Panama,Argentina,2,0,0,2,2,1.0
399,Paraguay,Argentina,50,32,19,31,101,0.3069306930693070
400,Peru,Argentina,25,14,12,13,51,0.2549019607843140
401,Poland,Argentina,7,2,2,5,11,0.45454545454545500
402,Portugal,Argentina,3,1,4,-1,8,-0.125
403,Romania,Argentina,4,2,0,4,6,0.6666666666666670
404,Russia,Argentina,2,6,5,-3,13,-0.23076923076923100
405,Saudi Arabia,Argentina,1,2,1,0,4,0.0
406,Scotland,Argentina,1,1,2,-1,4,-0.25
407,Serbia,Argentina,3,0,1,2,4,0.5
408,Slovenia,Argentina,1,0,0,1,1,1.0
409,South Africa,Argentina,1,1,0,1,2,0.5
410,South Korea,Argentina,2,0,1,1,3,0.3333333333333330
411,Spain,Argentina,10,2,2,8,14,0.5714285714285710
412,Sweden,Argentina,0,1,2,-2,3,-0.6666666666666670
413,Switzerland,Argentina,3,2,2,1,7,0.14285714285714300
414,Trinidad and Tobago,Argentina,1,0,0,1,1,1.0
415,Tunisia,Argentina,1,0,0,1,1,1.0
416,United States,Argentina,4,2,4,0,10,0.0
417,Uruguay,Argentina,96,42,37,59,175,0.33714285714285700
418,Venezuela,Argentina,14,2,9,5,25,0.2
419,Wales,Argentina,1,1,0,1,2,0.5
420,Yugoslavia,Argentina,3,2,1,2,6,0.3333333333333330
421,Algeria,Armenia,0,0,1,-1,1,-1.0
422,Belarus,Armenia,4,2,2,2,8,0.25
423,Belgium,Armenia,4,0,2,2,6,0.3333333333333330
424,Bosnia and Herzegovina,Armenia,3,0,1,2,4,0.5
425,Bulgaria,Armenia,2,0,0,2,2,1.0
426,Canada,Armenia,1,0,0,1,1,1.0
427,Cyprus,Armenia,5,1,0,5,6,0.8333333333333330
428,Czech Republic,Armenia,2,0,3,-1,5,-0.2
429,Denmark,Armenia,3,1,4,-1,8,-0.125
430,Estonia,Armenia,3,2,0,3,5,0.6
431,Finland,Armenia,3,1,2,1,6,0.16666666666666700
432,France,Armenia,3,0,2,1,5,0.2
433,Georgia,Armenia,2,1,2,0,5,0.0
434,Germany,Armenia,2,0,1,1,3,0.3333333333333330
435,Gibraltar,Armenia,0,0,2,-2,2,-1.0
436,Greece,Armenia,1,1,3,-2,5,-0.4
437,Iceland,Armenia,1,1,1,0,3,0.0
438,Iran,Armenia,0,0,1,-1,1,-1.0
439,Italy,Armenia,0,1,2,-2,3,-0.6666666666666670
440,Kazakhstan,Armenia,3,2,2,1,7,0.14285714285714300
441,Lebanon,Armenia,1,0,0,1,1,1.0
442,Liechtenstein,Armenia,2,2,0,2,4,0.5
443,Lithuania,Armenia,2,0,1,1,3,0.3333333333333330
444,Luxembourg,Armenia,0,1,0,0,1,0.0
445,Malta,Armenia,1,1,4,-3,6,-0.5
446,Moldova,Armenia,1,3,1,0,5,0.0
447,Montenegro,Armenia,2,0,0,2,2,1.0
448,Morocco,Armenia,0,0,1,-1,1,-1.0
449,Netherlands,Armenia,1,0,1,0,2,0.0
450,North Macedonia,Armenia,3,2,2,1,7,0.14285714285714300
451,Northern Ireland,Armenia,1,2,1,0,4,0.0
452,Norway,Armenia,0,1,1,-1,2,-0.5
453,Poland,Armenia,5,1,1,4,7,0.5714285714285710
454,Portugal,Armenia,3,2,1,2,6,0.3333333333333330
455,Republic of Ireland,Armenia,1,0,1,0,2,0.0
456,Romania,Armenia,3,1,1,2,5,0.4
457,Russia,Armenia,3,1,1,2,5,0.4
458,Saint Kitts and Nevis,Armenia,1,0,0,1,1,1.0
459,Serbia,Armenia,2,2,1,1,5,0.2
460,Slovakia,Armenia,1,0,1,0,2,0.0
461,Spain,Armenia,3,0,3,0,6,0.0
462,Turkey,Armenia,1,0,1,0,2,0.0
463,Turkmenistan,Armenia,1,0,0,1,1,1.0
464,Ukraine,Armenia,3,3,2,1,8,0.125
465,United Arab Emirates,Armenia,1,0,0,1,1,1.0
466,Uzbekistan,Armenia,2,0,0,2,2,1.0
467,Wales,Armenia,0,2,0,0,2,0.0
468,Artsakh,Chameria,0,0,1,-1,1,-1.0
469,County of Nice,Artsakh,0,0,1,-1,1,-1.0
470,Artsakh,Padania,1,0,0,1,1,1.0
471,Székely Land,Artsakh,1,0,0,1,1,1.0
472,Artsakh,Sápmi,1,0,1,0,2,0.0
473,Aruba,Barbados,3,0,2,1,5,0.2
474,Aruba,Bermuda,1,0,0,1,1,1.0
475,Bonaire,Aruba,0,2,1,-1,3,-0.3333333333333330
476,British Virgin Islands,Aruba,1,0,0,1,1,1.0
477,Cuba,Aruba,1,0,0,1,1,1.0
478,Curaçao,Aruba,24,11,12,12,47,0.2553191489361700
479,Dominican Republic,Aruba,1,1,1,0,3,0.0
